id,name,wikidata_id,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,date_premiered,year_written,year_premiered,year_printed,year_normalized,digital_source,original_source_publisher,original_source_pub_place,original_source_year,original_source_number_of_pages,average_degree,density,average_clustering,size,max_degree,num_connected_components,num_edges,diameter,average_path_length
ger000497,klinger-das-leidende-weib,Q95579878,Tragedy,False,Klinger,Das leidende Weib,Ein Trauerspiel,0,franz,33,5,27,16,9,2,1,732,8,0,16076,15789,444,,,,1775,1775,http://www.textgridrep.org/textgrid:r135.0,,,,,6.666666666666667,0.2564102564102564,0.6931264209041985,27,13,1,90,4,2.1623931623931623
ger000103,klinger-die-neue-arria,Q56422542,,False,Klinger,Die neue Arria,Ein Schauspiel,0,julio|solina,17,5,19,13,6,0,0,811,48,0,23726,23512,744,,1775,,1776,1776,http://www.textgridrep.org/textgrid:r134.0,,,,,6.315789473684211,0.3508771929824561,0.792785284890548,19,13,1,60,3,1.7836257309941521
ger000190,klinger-die-zwillinge,Q1217801,Tragedy,False,Klinger,Die Zwillinge,Ein Trauerspiel in fünf Aufzügen,0,grimaldi,21,5,8,5,2,1,1,637,16,2,17733,17498,462,,,1776,1776,1776,http://www.textgridrep.org/textgrid:r12v.0,,,,,5.25,0.75,0.875,8,7,1,21,2,1.25
ger000498,klinger-prinz-seiden-wurm-der-reformator,Q95588022,,False,Klinger,Prinz Seiden-Wurm der Reformator oder die Kron-Kompetenten,Ein moralisches Drama aus dem fünften Theil des Orpheus,0,prinz_seiden-wurm|minister_bim,34,5,34,26,4,4,7,393,91,0,14127,13614,900,,1779,,1780,1780,http://www.textgridrep.org/textgrid:r12n.0,,,,,13.882352941176471,0.4206773618538324,0.880546397187264,34,22,1,236,4,1.910873440285205
ger000443,klinger-simsone-grisaldo,Q56422563,,False,Klinger,Simsone Grisaldo,Ein Schauspiel in fünf Akten,0,grisaldo,16,5,20,16,4,0,1,917,10,0,26778,26499,1049,,,,1776,1776,http://www.textgridrep.org/textgrid:r13g.0,,,,,9.4,0.49473684210526314,0.8235067954920897,20,18,1,94,3,1.5421052631578946
ger000053,klinger-sturm-und-drang,Q1768388,,False,Klinger,Sturm und Drang,Ein Schauspiel,0,wild,37,5,13,8,5,0,0,782,0,5,17747,17417,923,,1776,1777,1777,1777,http://www.textgridrep.org/textgrid:r12k.0,,,,,7.6923076923076925,0.6410256410256411,0.7814130314130315,13,11,1,50,3,1.3974358974358974
ger000013,klopstock-der-tod-adams,Q22809001,Tragedy,False,Klopstock,Der Tod Adams,Ein Trauerspiel,0,adam|seth,20,3,11,5,5,1,0,186,0,0,7100,6126,251,,1753/1756,,1757,1757,http://www.textgridrep.org/textgrid:r1zm.0,,,,,7.2727272727272725,0.7272727272727273,0.9393939393939393,11,10,1,40,2,1.2727272727272727
ger000345,klopstock-hermanns-schlacht,Q56447366,,False,Klopstock,Hermanns Schlacht,Ein Bardiet für die Schaubühne,0,brenno,14,0,53,47,6,0,3,695,650,0,23253,22345,1093,,1766/1767,,1769,1769,http://www.textgridrep.org/textgrid:r1hd.0,,,,,16.18867924528302,0.3113207547169811,0.8884058165079888,53,51,1,429,3,1.6944847605224964
ger000290,kobell-der-roaga,Q56447413,,False,Kobell,Der Roaga [Reiher],,0,several characters,5,0,4,3,1,0,0,90,158,0,3775,3683,484,,1847,1847,1868,1847,http://www.textgridrep.org/textgrid:r22j.0,,,,,3.0,1.0,1.0,4,3,1,6,1,1.0
ger000520,koerner-die-braut,Q104585885,Comedy,False,Körner,Die Braut,"Ein Lustspiel in Alexandrinern, in einem Aufzuge",0,sohn,9,0,3,2,1,0,0,0,564,0,5056,4876,207,,1811,1812,1813,1812,https://www.projekt-gutenberg.org/koerner/braut/index.html,,,,,1.3333333333333333,0.6666666666666666,0.0,3,2,1,2,2,1.3333333333333333
